Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Liechtenstein,LIE,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,51.7
Liechtenstein,LIE,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,51.7
Liechtenstein,LIE,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,51.7
Liechtenstein,LIE,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,51.8
Liechtenstein,LIE,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,51.8
Liechtenstein,LIE,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,52
Liechtenstein,LIE,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,52.2
Liechtenstein,LIE,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,52.4
Liechtenstein,LIE,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,53.4
Liechtenstein,LIE,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,54.7
Liechtenstein,LIE,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,56
Liechtenstein,LIE,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,57.3
Liechtenstein,LIE,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,58.6
Liechtenstein,LIE,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,59.9
Liechtenstein,LIE,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,61.2
Liechtenstein,LIE,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,62.5
Liechtenstein,LIE,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,63.8
Liechtenstein,LIE,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,65.1
Liechtenstein,LIE,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,66.4
Liechtenstein,LIE,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,67.7
Liechtenstein,LIE,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,69
Liechtenstein,LIE,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,70
Liechtenstein,LIE,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,70
Liechtenstein,LIE,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,70
Liechtenstein,LIE,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,70
Liechtenstein,LIE,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,70
Liechtenstein,LIE,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,70
Liechtenstein,LIE,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,70
Liechtenstein,LIE,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,70
Liechtenstein,LIE,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,70
Liechtenstein,LIE,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,70
